City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
432,prince george,53.9166,-122.753,282.73,73,100,1.54,CA,1693844855
433,mahdia,35.5047,11.0622,302.12,53,67,6.24,TN,1693844856
434,ketchikan,55.3422,-131.6461,285.41,87,100,1.54,US,1693844856
435,hopelchen,19.7667,-89.85,307.49,41,38,1.3,MX,1693844857
436,guacui,-20.7756,-41.6794,302.07,48,89,1.44,BR,1693844857
437,kizilyurt,43.207,46.8679,297.43,64,5,6.8,RU,1693844858
438,dalhart,36.0595,-102.5133,305.64,22,0,5.14,US,1693844858
439,kailua-kona,19.6406,-155.9956,296.81,79,20,3.13,US,1693844859
440,kolonia town,6.964,158.206,301.75,74,90,3.74,FM,1693844859
441,suzemka,52.3178,34.0689,292.14,57,100,3.86,RU,1693844860
442,pangoa,-12.1167,-73,299.8,75,90,0.8,PE,1693844860
443,al ghayzah,16.2079,52.176,300.21,85,62,5.99,YE,1693844861
444,outjo,-20.1167,16.15,303.74,9,8,4.84,NA,1693844861
445,fort st. john,56.2499,-120.8529,278.09,100,100,1.54,CA,1693844832
446,aoulef,26.9667,1.0833,316.49,14,14,1.77,DZ,1693844862
447,lihue,21.9789,-159.3672,295.92,86,75,2.06,US,1693844639
448,papao,-17.75,-149.55,296.97,94,98,8.39,PF,1693844863
449,hell-ville,-13.4,48.2667,299.06,68,7,3.84,MG,1693844864
450,mitu,1.1983,-70.1733,302.1,79,97,0.85,CO,1693844864
451,miranda,3.2499,-76.2281,299.22,67,100,1.6,CO,1693844865
452,bay harbor,30.1471,-85.6146,304.82,66,40,4.63,US,1693844865
453,punta del este,-34.9667,-54.95,286.21,83,75,8.75,UY,1693844866
454,nuuk,64.1835,-51.7216,280.49,93,100,25.21,GL,1693844866
455,riohacha,11.5444,-72.9072,305.21,70,40,4.12,CO,1693844756
456,"laikit, laikit ii (dimembe)",1.4792,124.9735,294.62,78,20,1.54,ID,1693844867
457,mount isa,-20.7333,139.5,289.02,55,75,0.51,AU,1693844868
458,bac lieu,9.285,105.7244,299.55,87,98,5.02,VN,1693844868
459,tabou,4.423,-7.3528,300.28,71,84,4.72,CI,1693844869
460,lawas,13.764,121.0566,299.81,82,100,3.35,PH,1693844869
461,east london,-33.0153,27.9116,291.67,77,100,2.57,ZA,1693844870
